Campaign,Initial_date,End_date
Conversion October,08/10/2021,10/31/2021
Conversion November,10/11/2021,05/12/2021
Conversion December,09/12/2021,09/01/2022
Conversion January,11/01/2022,06/02/2022
Conversion February,07/02/2022,06/03/2022
Conversion March,10/03/2022,07/04/2022
Conversion April,12/04/2022,09/05/2022
Conversion May,13/05/2022,13/06/2022
Conversion June,16/06/2022,15/07/2022
Conversion July,16/07/2022,15/08/2022
Conversion August,16/08/2022,14/09/2022
Conversion September,15/09/2022,17/10/2022
