Tracker,Channel
ZoomD_42b-ADN,ZoomD
Zoomd Shareit,ZoomD
ZoomD DSP,ZoomD
Zoomd Appnext,ZoomD
ZoomD,ZoomD
Untrusted Devices,Digital Turbine
Unattributed,Facebook
UA48736,ZoomD
TikTok ZoomD,TikTok
Tiktok Organic,TikTok
tiktok,TikTok
Taboola,Taboola
Snapchat Installs,Snapchat
referrals,Referral
Referral,Referral
Organic,Organic
Oppizi,Oppizi
Off-Facebook Installs,Facebook
Not_Tracked,Not_Tracked
New_Respaldo,Klar
na,na
MiQ,MiQ
Mapendo,Mapendo
Lychee,Lychee
Liftoff RE,Liftoff
Liftoff,Liftoff
Leadgenios,Leadgenios
Klar.mx,Klar
Joel Video,Influencers
Instagram Installs,Facebook
Influencers,Influencers
Influencer,Influencers
Google Awareness,Google
Google Ads Video,Google
Google Ads Search,Google
Google Ads ACI,Google
Google Ads ACE,Google
Google Ads (unknown),Google
Google,Google
Facebook Messenger Installs,Facebook
Facebook Installs,Facebook
Facebook Awareness,Facebook
Facebook,Facebook
Eduardo Rosas,Influencers
Destacame,Destacame
Carlos Estrada,Influencers
Apple Search Ads,Apple Search
AdAction,AdAction
5fow643x,ZoomD
Offline,Offline
Twitter Installs,Twitter
Twitter Audience Platform,Twitter
Tiktok Installs,TikTok
Google Organic Search,Google
Social Media Organic,Organic
Performance [Laya|JM],Facebook
